insert into owner values (1, '권', '도은', ' 010-8498-1849', ' 3ngb798o@nano.com', ' female', 98);
insert into owner values (278, '유', '하은', ' 010-5096-8509', ' h8u1hghz@nano.com', ' female', 96);
insert into owner values (279, '유', '하은', ' 010-9432-9943', ' nawh29qc@nano.com', ' male', 32);
insert into owner values (280, '유', '하은', ' 010-2978-4297', ' pn6spzad@nano.com', ' male', 83);
insert into owner values (281, '유', '하진', ' 010-0478-8047', ' yy6foz8u@nano.com', ' female', 78);
insert into owner values (282, '유', '현서', ' 010-9383-8938', ' slbdkfuh@nano.com', ' male', 83);
insert into owner values (283, '유', '현원', ' 010-2485-3248', ' 60pggr0q@nano.com', ' female', 85);
insert into owner values (284, '유', '현윤', ' 010-9885-6988', ' fteonkxz@nano.com', ' male', 85);
insert into owner values (285, '유', '현은', ' 010-1885-5188', ' p3q99e60@nano.com', ' male', 85);
insert into owner values (286, '유', '현진', ' 010-0204-8020', ' gdavmrql@nano.com', ' female', 4);
insert into owner values (287, '전', '도서', ' 010-9542-5954', ' h44d91dy@nano.com', ' male', 42);
insert into owner values (288, '전', '도준', ' 010-0478-8047', ' g5kvtmrq@nano.com', ' female', 78);
insert into owner values (289, '전', '도진', ' 010-1816-8181', ' 4rzrrwrc@nano.com', ' female', 16);
insert into owner values (290, '전', '도진', ' 010-0608-2060', ' sxtz2i28@nano.com', ' female', 8);
insert into owner values (291, '전', '도후', ' 010-2507-2250', ' v6wny3bz@nano.com', ' male', 7);
insert into owner values (292, '전', '민연', ' 010-8642-0864', ' zqcdc2f6@nano.com', ' male', 42);
insert into owner values (293, '전', '서아', ' 010-9135-7913', ' umm5cqxu@nano.com', ' male', 35);
insert into owner values (294, '전', '서연', ' 010-7631-9763', ' x6p2lyc6@nano.com', ' female', 31);
insert into owner values (295, '전', '예은', ' 010-1945-2194', ' 328a9112@nano.com', ' female', 45);
insert into owner values (296, '전', '예진', ' 010-3138-8313', ' 8icqrn7n@nano.com', ' male', 38);
insert into owner values (297, '전', '윤아', ' 010-9062-5906', ' 6htztw48@nano.com', ' female', 62);
insert into owner values (298, '전', '윤원', ' 010-1324-6132', ' ztq1rg5d@nano.com', ' female', 24);
insert into owner values (299, '전', '윤은', ' 010-8642-0864', ' mto84xn3@nano.com', ' female', 42);
insert into owner values (300, '전', '윤은', ' 010-4344-5434', ' 9sd76rz8@nano.com', ' male', 44);
insert into owner values (301, '전', '윤준', ' 010-8202-2820', ' qbsx9rop@nano.com', ' male', 2);
insert into owner values (302, '전', '윤진', ' 010-8028-2802', ' c2lm29ce@nano.com', ' male', 28);
insert into owner values (303, '전', '윤진', ' 010-7623-4762', ' 9st2811m@nano.com', ' male', 23);
insert into owner values (304, '전', '주원', ' 010-9216-4921', ' 6q5ri4pp@nano.com', ' male', 16);
insert into owner values (305, '전', '주준', ' 010-7212-4721', ' 5z3cesoi@nano.com', ' male', 12);
insert into owner values (306, '전', '주준', ' 010-5816-9581', ' kszfh1xs@nano.com', ' female', 16);
insert into owner values (307, '전', '주진', ' 010-3818-9381', ' tbz0zqlt@nano.com', ' male', 18);
insert into owner values (308, '전', '주호', ' 010-0128-1012', ' 8suogilm@nano.com', ' female', 28);
insert into owner values (309, '전', '주호', ' 010-0247-8024', ' lcpuu764@nano.com', ' male', 47);
insert into owner values (310, '전', '지서', ' 010-0508-8050', ' rcibc1zz@nano.com', ' female', 8);
insert into owner values (311, '전', '지아', ' 010-0156-2015', ' fn1todzc@nano.com', ' female', 56);
insert into owner values (312, '전', '지원', ' 010-5326-6532', ' af4z1p1l@nano.com', ' male', 26);
insert into owner values (313, '전', '지윤', ' 010-2312-5231', ' hm5043kv@nano.com', ' female', 12);
insert into owner values (314, '전', '지윤', ' 010-7088-5708', ' ygu0ygm5@nano.com', ' female', 88);
insert into owner values (315, '전', '지은', ' 010-0102-6010', ' izyts81o@nano.com', ' male', 2);
insert into owner values (316, '전', '지준', ' 010-9236-4923', ' h0z195q1@nano.com', ' female', 36);
insert into owner values (317, '전', '지준', ' 010-3079-4307', ' gff8t1v6@nano.com', ' male', 79);
insert into owner values (318, '전', '지준', ' 010-0813-0081', ' ac77e9ei@nano.com', ' female', 13);
insert into owner values (319, '전', '지진', ' 010-2055-3205', ' lrlgy2n5@nano.com', ' female', 55);
insert into owner values (320, '전', '지호', ' 010-7088-5708', ' y9iz2rvf@nano.com', ' male', 88);
insert into owner values (321, '전', '채윤', ' 010-0675-6067', ' kz1p3di5@nano.com', ' male', 75);
insert into owner values (322, '전', '채은', ' 010-3684-7368', ' s9qpluu5@nano.com', ' male', 84);
insert into owner values (323, '전', '하서', ' 010-9777-3977', ' 8hxtazle@nano.com', ' male', 77);
insert into owner values (324, '전', '하연', ' 010-0157-0015', ' wmw8r4pe@nano.com', ' female', 57);
insert into owner values (325, '전', '하은', ' 010-5583-7558', ' gsygfboa@nano.com', ' female', 83);
insert into owner values (326, '전', '하준', ' 010-0363-2036', ' ec6z80nf@nano.com', ' male', 63);
insert into owner values (327, '전', '하준', ' 010-4164-4416', ' 0fkd5xyb@nano.com', ' female', 64);
insert into owner values (328, '전', '현윤', ' 010-7647-0764', ' umeqr68t@nano.com', ' female', 47);
insert into owner values (329, '전', '현진', ' 010-4803-7480', ' wc1zxoxx@nano.com', ' male', 3);
insert into owner values (330, '전', '현호', ' 010-9672-7967', ' zhw6tzou@nano.com', ' female', 72);
insert into owner values (331, '전', '현후', ' 010-2846-9284', ' drzcem63@nano.com', ' female', 46);
insert into owner values (332, '한', '도서', ' 010-0633-2063', ' 7v6l5m1f@nano.com', ' female', 33);
insert into owner values (333, '한', '도우', ' 010-0687-0068', ' bf55sawz@nano.com', ' male', 87);
insert into owner values (334, '한', '도우', ' 010-8848-8884', ' slaobfhq@nano.com', ' male', 48);
insert into owner values (335, '한', '도윤', ' 010-8239-4823', ' fxadkzc3@nano.com', ' male', 39);
insert into owner values (336, '한', '도윤', ' 010-0212-3021', ' 91zgaa7n@nano.com', ' female', 12);
insert into owner values (337, '한', '도진', ' 010-0868-2086', ' vh2aswr1@nano.com', ' female', 68);
insert into owner values (338, '한', '민연', ' 010-8425-0842', ' 05t1ziho@nano.com', ' female', 25);
insert into owner values (339, '한', '민윤', ' 010-8991-2899', ' 8l43vk2n@nano.com', ' male', 91);
insert into owner values (340, '한', '서서', ' 010-9724-5972', ' gdh8p0a7@nano.com', ' female', 24);
insert into owner values (341, '한', '서아', ' 010-0096-4009', ' m11ca2m4@nano.com', ' female', 96);
insert into owner values (342, '한', '서연', ' 010-4058-0405', ' qq430cb1@nano.com', ' male', 58);
insert into owner values (343, '한', '서윤', ' 010-5648-3564', ' 9spundt4@nano.com', ' male', 48);
insert into owner values (344, '한', '서진', ' 010-3791-0379', ' hk06vzuo@nano.com', ' female', 91);
insert into owner values (345, '한', '서호', ' 010-8292-9829', ' mm2y968q@nano.com', ' male', 92);
insert into owner values (346, '한', '서호', ' 010-3456-6345', ' 6419q350@nano.com', ' female', 56);
insert into owner values (347, '한', '예우', ' 010-1932-6193', ' ef811mk7@nano.com', ' female', 32);
insert into owner values (348, '한', '예호', ' 010-8107-3810', ' ees2slkv@nano.com', ' male', 7);
insert into owner values (349, '한', '윤은', ' 010-0052-4005', ' ucd0nvuv@nano.com', ' male', 52);
insert into owner values (350, '한', '윤후', ' 010-1048-1104', ' 7p4h5d3v@nano.com', ' female', 48);
insert into owner values (351, '한', '주연', ' 010-0951-0095', ' 12aduc6r@nano.com', ' female', 51);
insert into owner values (352, '한', '지서', ' 010-2117-8211', ' d65n9r4d@nano.com', ' male', 17);
insert into owner values (353, '한', '지원', ' 010-2669-8266', ' epl8ug9w@nano.com', ' male', 69);
insert into owner values (354, '한', '지윤', ' 010-8292-2829', ' dvigg06x@nano.com', ' male', 92);
insert into owner values (355, '한', '지은', ' 010-5634-5563', ' arx5zqnk@nano.com', ' female', 34);
insert into owner values (356, '한', '지은', ' 010-5023-7502', ' 9x60l2aq@nano.com', ' male', 23);
insert into owner values (357, '한', '지진', ' 010-9618-9961', ' sx0g80c0@nano.com', ' female', 18);
insert into owner values (358, '한', '채아', ' 010-7643-3764', ' t3weiqzk@nano.com', ' male', 43);
insert into owner values (359, '한', '채준', ' 010-1907-7190', ' zlbmhd41@nano.com', ' female', 7);
insert into owner values (360, '한', '채준', ' 010-8018-9801', ' s3vgyr6o@nano.com', ' male', 53);
insert into owner values (361, '한', '채진', ' 010-9804-2980', ' pocw23bw@nano.com', ' female', 4);
insert into owner values (362, '한', '채후', ' 010-8442-6844', ' ws68s2av@nano.com', ' female', 42);
insert into owner values (363, '한', '하연', ' 010-6678-4667', ' cumszgut@nano.com', ' male', 78);
insert into owner values (364, '한', '하우', ' 010-3194-6319', ' 55mzvhzc@nano.com', ' female', 94);
insert into owner values (365, '한', '하원', ' 010-4586-4458', ' 9uidth4o@nano.com', ' male', 86);
insert into owner values (366, '한', '하원', ' 010-4635-5463', ' 85pblfvq@nano.com', ' female', 35);
insert into owner values (367, '한', '현은', ' 010-4367-6436', ' za4f180b@nano.com', ' male', 67);
insert into owner values (368, '홍', '도서', ' 010-9645-8964', ' 3v8ziocz@nano.com', ' female', 45);
insert into owner values (369, '홍', '도원', ' 010-8787-7878', ' 8g4hxiee@nano.com', ' male', 87);
insert into owner values (370, '홍', '도은', ' 010-0557-5055', ' lusd6rxq@nano.com', ' female', 57);
insert into owner values (371, '홍', '도은', ' 010-0424-0042', ' 8a03n7yz@nano.com', ' male', 24);
insert into owner values (372, '홍', '민아', ' 010-1198-5119', ' 2ybtxgtx@nano.com', ' female', 98);
insert into owner values (373, '홍', '민우', ' 010-9946-7994', ' rcmkpnqx@nano.com', ' female', 46);
insert into owner values (374, '홍', '민윤', ' 010-2978-4297', ' tz3t5nep@nano.com', ' female', 78);
insert into owner values (375, '홍', '민준', ' 010-4319-9431', ' 0q3ke27a@nano.com', ' female', 19);
insert into owner values (376, '홍', '서후', ' 010-1093-9109', ' 09zyidhq@nano.com', ' male', 93);
insert into owner values (377, '홍', '예서', ' 010-6217-4621', ' 69d7odmi@nano.com', ' male', 17);
insert into owner values (378, '홍', '예서', ' 010-5565-5556', ' lytdwzcz@nano.com', ' male', 65);
insert into owner values (379, '홍', '예서', ' 010-4188-0418', ' o1wph9uz@nano.com', ' female', 88);
insert into owner values (380, '홍', '예원', ' 010-3026-9302', ' pzuxl2r8@nano.com', ' female', 26);
insert into owner values (381, '홍', '예은', ' 010-4842-8484', ' vh9nq17g@nano.com', ' female', 42);
insert into owner values (382, '홍', '예진', ' 010-2525-1252', ' ta3vi3sd@nano.com', ' female', 25);
insert into owner values (383, '홍', '윤서', ' 010-0837-6083', ' tegiwiyt@nano.com', ' female', 37);
insert into owner values (384, '홍', '주진', ' 010-4842-8484', ' 1zw4gokx@nano.com', ' male', 42);
insert into owner values (385, '홍', '지서', ' 010-4426-0442', ' 55e6t0xr@nano.com', ' male', 26);
insert into owner values (386, '홍', '지아', ' 010-3865-1386', ' avs901zi@nano.com', ' male', 65);
insert into owner values (387, '홍', '지우', ' 010-9135-7913', ' 32phwe8q@nano.com', ' male', 35);
insert into owner values (388, '홍', '지윤', ' 010-6943-4694', ' paiheq9h@nano.com', ' female', 43);
insert into owner values (389, '홍', '지은', ' 010-4065-2406', ' 82x9zqlo@nano.com', ' male', 65);
insert into owner values (390, '홍', '지진', ' 010-9672-7967', ' raug7i5y@nano.com', ' female', 72);
insert into owner values (391, '홍', '지진', ' 010-3787-4378', ' nf1drlug@nano.com', ' male', 55);
insert into owner values (392, '홍', '지진', ' 010-3054-1305', ' czvzf4tp@nano.com', ' male', 54);
insert into owner values (393, '홍', '채준', ' 010-8734-2873', ' g6xyxkz5@nano.com', ' female', 34);
insert into owner values (394, '홍', '하진', ' 010-5305-1530', ' yxl49y9r@nano.com', ' female', 5);
insert into owner values (395, '홍', '하호', ' 010-8341-7834', ' vkbp31z1@nano.com', ' male', 41);
insert into owner values (396, '홍', '현서', ' 010-0285-5028', ' wdhvqest@nano.com', ' female', 7);
insert into owner values (397, '홍', '현연', ' 010-2223-4222', ' 2ot21ide@nano.com', ' male', 23);
insert into owner values (398, '홍', '현진', ' 010-2729-2272', ' c2l76m6m@nano.com', ' female', 29);
